,miles por galon,MOTOR,"fuerza,caballos","peso,kg","modelo,año",acceleracion,pais,numero de cilindros,,
1,18,307,130,3504,70,12,1,8,,
2,15,350,165,3693,70,12,1,8,,DATOS LIMPIOS
3,18,318,150,3436,70,11,1,8,,
4,16,304,150,3433,70,12,1,8,,
5,17,302,140,3449,70,11,1,8,,
6,15,429,198,4341,70,10,1,8,,
7,14,454,220,4354,70,9,1,8,,
8,14,440,215,4312,70,9,1,8,,
9,14,455,225,4425,70,10,1,8,,
10,15,390,190,3850,70,9,1,8,,
11,15,383,170,3563,70,10,1,8,,
12,14,340,160,3609,70,8,1,8,,
13,15,400,150,3761,70,10,1,8,,
14,14,455,225,3086,70,10,1,8,,
15,24,113,95,2372,70,15,3,4,,
16,22,198,95,2833,70,16,1,6,,
17,18,199,97,2774,70,16,1,6,,
18,21,200,85,2587,70,16,1,6,,
19,27,97,88,2130,70,15,3,4,,
20,26,97,46,1835,70,21,2,4,,
21,25,110,87,2672,70,18,2,4,,
22,24,107,90,2430,70,15,2,4,,
23,25,104,95,2375,70,18,2,4,,
24,26,121,113,2234,70,13,2,4,,
25,21,199,90,2648,70,15,1,6,,
26,10,360,215,4615,70,14,1,8,,
27,10,307,200,4376,70,15,1,8,,
28,11,318,210,4382,70,14,1,8,,
29,27,97,88,2130,71,15,3,4,,
30,28,140,90,2264,71,16,1,4,,
31,25,113,95,2228,71,14,3,4,,
32,19,232,100,2634,71,13,1,6,,
33,16,225,105,3439,71,16,1,6,,
34,17,250,100,3329,71,16,1,6,,
35,19,250,88,3302,71,16,1,6,,
36,18,232,100,3288,71,16,1,6,,
37,14,350,165,4209,71,12,1,8,,
38,14,400,175,4464,71,12,1,8,,
39,14,351,153,4154,71,14,1,8,,
40,14,318,150,4096,71,13,1,8,,
41,12,383,180,4955,71,12,1,8,,
42,13,400,170,4746,71,12,1,8,,
43,13,400,175,5140,71,12,1,8,,
44,18,258,110,2962,71,14,1,6,,
45,22,140,72,2408,71,19,1,4,,
46,19,250,100,3282,71,15,1,6,,
47,18,250,88,3139,71,15,1,6,,
48,23,122,86,2220,71,14,1,4,,
49,28,116,90,2123,71,14,2,4,,
50,30,79,70,2074,71,20,2,4,,
51,30,88,76,2065,71,15,2,4,,
52,31,71,65,1773,71,19,3,4,,
53,35,72,69,1613,71,18,3,4,,
54,27,97,60,1834,71,19,2,4,,
55,26,91,70,1955,71,21,1,4,,
56,24,113,95,2278,72,16,3,4,,
57,25,98,80,2126,72,17,1,4,,
58,23,97,54,2254,72,24,2,4,,
59,20,140,90,2408,72,20,1,4,,
60,21,122,86,2226,72,17,1,4,,
61,13,350,165,4274,72,12,1,8,,
62,14,400,175,4385,72,12,1,8,,
63,15,318,150,4135,72,14,1,8,,
64,14,351,153,4129,72,13,1,8,,
65,17,304,150,3672,72,12,1,8,,
66,11,429,208,4633,72,11,1,8,,
67,13,350,155,4502,72,14,1,8,,
68,12,350,160,4456,72,14,1,8,,
69,13,400,190,4422,72,13,1,8,,
70,19,70,97,2330,72,14,3,3,,
71,15,304,150,3892,72,13,1,8,,
72,13,307,130,4098,72,14,1,8,,
73,13,302,140,4294,72,16,1,8,,
74,14,318,150,4077,72,14,1,8,,
75,18,121,112,2933,72,15,2,4,,
76,22,121,76,2511,72,18,2,4,,
77,21,120,87,2979,72,20,2,4,,
78,26,96,69,2189,72,18,2,4,,
79,22,122,86,2395,72,16,1,4,,
80,28,97,92,2288,72,17,3,4,,
81,23,120,97,2506,72,15,3,4,,
82,28,98,80,2164,72,15,1,4,,
83,27,97,88,2100,72,17,3,4,,
84,13,350,175,4100,73,13,1,8,,
85,14,304,150,3672,73,12,1,8,,
86,13,350,145,3988,73,13,1,8,,
87,14,302,137,4042,73,15,1,8,,
88,15,318,150,3777,73,13,1,8,,
89,12,429,198,4952,73,12,1,8,,
90,13,400,150,4464,73,12,1,8,,
91,13,351,158,4363,73,13,1,8,,
92,14,318,150,4237,73,15,1,8,,
93,13,440,215,4735,73,11,1,8,,
94,12,455,225,4951,73,11,1,8,,
95,13,360,175,3821,73,11,1,8,,
